Spring 2017,HIST 247 H,Soviet Union,Frances Bernstein,TR 11:50 AM-01:05 PM BC101,Treehouse Course Information,humanities,

Spring 2017,HIST 259 Q,Modern Sub-Saharan Africa,Ebenezer Addo,T 07:00 PM-09:30 PM BC203,Treehouse Course Information,humanities,

Spring 2017,HIST 301 Z,Selected Topics: History of Disablity,Frances Bernstein,TR 02:40 PM-03:55 PM BC117,Treehouse Course Information,humanities,

Spring 2017,HIST 336 Z,Foundations of the European Intellectual Tradition,John Lenz,TR 02:40 PM-03:55 PM BC18,Treehouse Course Information,humanities,

Spring 2017,HIST 357 JT,The Vietnam War,James Carter,M 01:15 PM-03:45 PM SEM109,Treehouse Course Information,humanities,

Spring 2017,HUM 203H K,Honors: Mass Migration in the 21st Century:: Peril or Opportunity?,Marie-Pascale PierettiDi BaiClifford EvansCaitlin KillianNancy NogueraJennifer OlmstedKaren PechilisRaul RosalesBernard Smith,TR 01:15 PM-02:30 PM BC217,Treehouse Course Information,humanities,

Spring 2017,HUM 217H F,Honors: Special Topics in ARTH - Modern Age in the West: Cities Through Art:: Film and Literature,Marie-Pascale PierettiKimberly Rhodes,TR 10:25 AM-11:40 AM ARTS106,Treehouse Course Information,humanities,

Spring 2017,ITAL 302 H,Contemporary Italian Cinema,Emanuele Occhipinti,TR 11:50 AM-01:05 PM BC203,Treehouse Course Information,humanities,

Spring 2017,ITAL 302 X,Contemporary Italian Cinema,Emanuele Occhipinti,-,Treehouse Course Information,humanities,

Spring 2017,JWST 241 K,History of the Jews from Antiquity to the 18th Century,Allan Nadler,TR 01:15 PM-02:30 PM BC120,Treehouse Course Information,humanities,

Spring 2017,JWST 320 M,Seminar in Jewish Studies: How the Rabbis and Jewish Philosophers Defied the Torah,Allan Nadler,TR 04:30 PM-05:45 PM BC13A,Treehouse Course Information,humanities,

Spring 2017,LING 220 G,History and Structure of the English Language,James Hala,MW 11:50 AM-01:05 PM HSCS139,Treehouse Course Information,humanities,

Spring 2017,MUS 103 F,Introduction to Western Art Music,Leslie Sprout,TR 10:25 AM-11:40 AM MUS111,Treehouse Course Information,humanities,

Spring 2017,MUS 238 G,African American Music History,Trevor Weston,MW 11:50 AM-01:05 PM MUS111,Treehouse Course Information,humanities,

Spring 2017,PHIL 101 E,Introduction to Philosophy,Seung-Kee Lee,MW 10:25 AM-11:40 AM BC215,Treehouse Course Information,humanities,

Spring 2017,PHIL 104 K,Introduction to Ethics,Denise Vigani,TR 01:15 PM-02:30 PM HSCS308,Treehouse Course Information,humanities,

Spring 2017,PHIL 211 J,History of Modern Philosophy,Seung-Kee Lee,MW 01:15 PM-02:30 PM HSCS244,Treehouse Course Information,humanities,

Spring 2017,PHIL 322 D,Philosopy of Mind,Erik Anderson,TR 09:00 AM-10:15 AM BC203,Treehouse Course Information,humanities,

Spring 2017,PHIL 334 Z,Aesthetics,Erik Anderson,TR 02:40 PM-03:55 PM ARTS106,Treehouse Course Information,humanities,

Spring 2017,PHIL 345 H,Selected Topics Philosophy: Feminist Ethical Theory,Denise Vigani,TR 11:50 AM-01:05 PM HSCS308,Treehouse Course Information,humanities,

Spring 2017,REL 101 F,Introduction to World Religions,Karen Pechilis,TR 10:25 AM-11:40 AM LC28,Treehouse Course Information,humanities,

Spring 2017,REL 240H Z,HONORS: Dante: Heaven:: Hell,Louis Hamilton,TR 02:40 PM-03:55 PM BC217,Treehouse Course Information,humanities,

Spring 2017,REL 320 M,Seminar in Jewish Studies: How the Rabbis and Jewish Philosophers Defied the Torah,Allan Nadler,TR 04:30 PM-05:45 PM BC13A,Treehouse Course Information,humanities,

Spring 2017,SPAN 251 Z,Selected Topics: Latinos/as in the U.S.: Politics of Inclusion and Exclusion,TBA,,Treehouse Course Information,humanities,

Spring 2017,SPAN 253 F,Gender:: Sexuality and Performance in Spanish Theatre (Taught in English),Raul Rosales,TR 10:25 AM-11:40 AM BC103,Treehouse Course Information,humanities,

Spring 2017,SPAN 310 H,Gateway to Hispanic Literature and Cultural Studies,Ada Ortuzar-Young,TR 11:50 AM-01:05 PM BC216,Treehouse Course Information,humanities,

Spring 2017,WGST 253 F,Gender:: Sexuality and Performance in Spanish Theatre,Raul Rosales,TR 10:25 AM-11:40 AM BC103,Treehouse Course Information,humanities,

